Nombre,Autor,Editorial,ISBN,Precio,Fecha de lanzamiento,Formato,Páginas,Disponibilidad
BATMAN/SPAWN: TRILOGÍA,"Alan Grant
,
 Chuck Dixon
,
 Doug Moench
,
 Frank Miller
,
 Greg Capullo
,
 Klaus Janson
,
 Todd McFarlane",ECC Ediciones,9788419678386,"57,00 €",28/03/2023,Tapa dura,184,En stock
LA IMPOSIBLE PATRULLA-X 02: LA HERIDA MÁS CRUEL (Marvel Must-Have),"Alan Davis
,
 Chris Claremont
,
 Salvador Larroca
,
 Andy Park",Panini Comics,9788411502740,"19,00 €",23/03/2023,Tapa dura,160,En stock
MARVEL 2 EN UNO: LA COSA Y LA ANTORCHA HUMANA (Marvel Deluxe),"Chip Zdarsky
,
 Declan Shalvey
,
 Jim Cheung
,
 Paco Medina
,
 Ramón Pérez
,
 Valerio Schiti",Panini Comics,9788411502696,"36,10 €",23/03/2023,Tapa dura,312,En stock
LOS EXILIADOS 03: UN SEGUNDO ADIÓS,"Javier Rodriguez
,
 Saladin Ahmed",Panini Comics,9788411502665,"41,80 €",23/03/2023,Tapa dura,384,En stock
JESSICA JONES 06: LAS VARIANTES,"Gail Simone
,
 Phil Noto",Panini Comics,9788411502207,"19,95 €",23/03/2023,Tapa dura,112,En stock
DAREDEVIL: BORN AGAIN (Marvel Must-Have),"David Mazzucchelli
,
 Frank Miller",Panini Comics,9788411504317,"19,00 €",23/03/2023,Tapa dura,192,En stock
MARVEL: MUNDOS Y ESCENARIOS,"James Hill
,
 Nick Jones",DKespañol,9780241620175,"28,41 €",16/03/2023,Tapa dura,240,En stock
DAREDEVIL DE MARK WAID 07: LA CORTE DEL BUFÓN (Marvel Saga),"Chris Samnee
,
 Javier Rodriguez
,
 Mark Waid",Panini Comics,9788411502658,"18,05 €",16/03/2023,Tapa dura,144,En stock
MASACRE DE GERRY DUGGAN 05: TODO POR LOS AMIGOS (Marvel omnibus),"Brian Posehn
,
 Gerry Duggan
,
 Mike Hawthorne
,
 Scott Koblish",Panini Comics,9788411502757,"39,90 €",16/03/2023,Tapa dura,368,En stock
HULK: GRIS (Marvel Must-Have),"Jeph Loeb
,
 Tim Sale",Panini Comics,9788411501187,"19,00 €",16/03/2023,Tapa dura,160,En stock
EL ESPECTACULAR SPIDERMAN 03: AQUÍ HAY MONSTRUOS (Marvel Saga),"Damion Scott
,
 Paolo Rivera
,
 Paul Jenkins",Panini Comics,9788411502641,"18,05 €",16/03/2023,Tapa dura,136,En stock
POWER PACK: LA COLECCIÓN COMPLETA 01,"Brent Anderson
,
 Chris Claremont
,
 John Romita Jr.
,
 June Brigman
,
 Louise Simonson
,
 Mark Badger",Panini Comics,9788411502634,"39,90 €",16/03/2023,Tapa dura,400,En stock
MARVEL HÉROES: CAPITÁN AMÉRICA 04. LA ESTRATEGIA SUPERIA,"Mark Gruenwald
,
 Ron Lim",Panini Comics,9788411502139,"62,70 €",16/03/2023,Tapa dura,816,En stock
NEXTWAVE: AGENTES DE H.A.T.E (Marvel Must-Have),"Stuart Immonen
,
 Warren Ellis",Panini Comics,9788411502344,"23,75 €",16/03/2023,Tapa dura,296,En stock
CAPITANA MARVEL 04: JUICIOS,"Álvaro López
,
 Carlos Gomez
,
 Juan Frigeri
,
 Kelly Thompson
,
 Torunn Gronbekk",Panini Comics,9788411501682,"18,05 €",16/03/2023,Tapa blanda,144,En stock
ROGERS / WILSON CAPITÁN AMÉRICA 08,"Carmen Carnero
,
 Collin Kelly
,
 Ig Guara
,
 Jackson Lanzing
,
 Tochi Onyebuchi",Panini Comics,977000543800900145,"3,61 €",16/03/2023,Grapa,32,En stock
VENGADORES 48 (149),"Ivan Fiorelli
,
 James Towe
,
 Jason Aaron",Panini Comics,977000543600500149,"5,23 €",16/03/2023,Grapa,48,En stock
SECRET WARS (Marvel Must-Have),"Esad Ribic
,
 Jonathan Hickman",Panini Comics,9788411500609,"26,60 €",16/03/2023,Tapa dura,312,En stock
DOCTOR EXTRAÑO 01: 1963-64 (Biblioteca Marvel),"Stan Lee
,
 Steve Ditko",Panini Comics,9788411502627,"11,40 €",11/03/2023,Tapa blanda con solapas,160,En stock
SPIDERMAN 2099: ÉXODO,Varios autores,Panini Comics,9788411501675,"19,95 €",11/03/2023,Tapa blanda,184,En stock
PATRULLA-X '92: DINASTÍA DE XCII. OTRA KRAKOA,"Salva Espín
,
 Steve Foxe",Panini Comics,9788411502214,"15,68 €",11/03/2023,Tapa blanda,128,En stock
EL ASOMBROSO SPIDERMAN 02: 1963-64 (Biblioteca Marvel),"Stan Lee
,
 Steve Ditko",Panini Comics,9788411502610,"11,40 €",11/03/2023,Tapa blanda con solapas,160,En stock
EL ASOMBROSO SPIDERMAN 03: VIDA Y MUERTE DE LAS ARAÑAS (MARVEL SAGA TAPA BLANDA),"J. Michael Straczynski
,
 John Romita Jr.",Panini Comics,9788411502702,"17,58 €",11/03/2023,Tapa blanda,232,En stock
VENENO 06: MATANZA ABSOLUTA. LOS CRUCES (Marvel premiere),"Donny Cates
,
 Ibán Coello
,
 Juan Gedeon",Panini Comics,9788411502764,"10,45 €",11/03/2023,Tapa blanda,112,En stock
EL INMORTAL HULK 07: HULK ES HULK (Marvel premiere),"Al Ewing
,
 Javier Rodriguez
,
 Joe Bennett
,
 Mike Hawthorne",Panini Comics,9788411502771,"11,40 €",11/03/2023,Tapa dura,136,En stock
AMANECER DE X 07 (Marvel premiere),"Ed Brisson
,
 Matteo Buffagni
,
 Stephen Segovia
,
 Varios autores",Panini Comics,9788411502788,"14,73 €",09/03/2023,Tapa blanda,184,En stock
SPIDERWOMAN 02: ENREDADOS (MARVEL LIMITED EDITION),Panini Comics,Panini Comics,9788418814211,"41,75 €",09/03/2023,Tapa dura,336,En stock
LOS CUATRO FANTÁSTICOS 04: 1963-64 (Biblioteca Marvel),"Jack Kirby
,
 Stan Lee",Panini Comics,9788411502603,"11,40 €",09/03/2023,Tapa blanda con solapas,160,En stock
PATRULLA-X 17 (139) (Serie mensual),"Gerry Duggan
,
 Joshua Cassara",Panini Comics,977000545800700139,"3,61 €",02/03/2023,Grapa,32,En stock
EL CASTIGADOR 07 (de 13),"Jason Aaron
,
 Jesús Saiz
,
 Paul Azaceta",Panini Comics,977000563900000007,"3,61 €",02/03/2023,Grapa,32,En stock
VENENO 13 (61),"Bryan Hitch
,
 Ram V",Panini Comics,977000552800700061,"3,14 €",02/03/2023,Grapa,24,En stock
LOBEZNO 28 (134),"Benjamin Percy
,
 Federico Vicentini",Panini Comics,977000544600400134,"3,61 €",02/03/2023,Grapa,32,En stock
IRON MAN 26 (145),"Ángel Unzueta
,
 Benjamin Dewey
,
 Christopher Cantwell
,
 Dotun Akande
,
 Kurt Busiek
,
 Murewa Ayodele",Panini Comics,977000544300300145,"5,23 €",02/03/2023,Grapa,48,En stock
LEYENDAS DE LA PATRULLA-X: LONGSHOT,"Chris Claremont
,
 Scot Eaton",Panini Comics,977000562000800010,"5,23 €",02/03/2023,Grapa,48,En stock
EXTRAÑO 05,"Jed Mackay
,
 Marcelo Ferreira",Panini Comics,977000550100000066,"5,23 €",02/03/2023,Grapa,48,En stock
TODO VENGADORES 02,"Derek Landy
,
 Greg Land",Panini Comics,977000565200900002,"5,23 €",02/03/2023,Grapa,48,En stock
DAREDEVIL 05 (38),"Chip Zdarsky
,
 Rafael De Latorre",Panini Comics,977000557500100038,"3,14 €",02/03/2023,Grapa,24,En stock
NUEVOS MUTANTES 29 (Serie mensual),"Charlie Jane Anders
,
 Alberto Jimenez Alburquerque
,
 Ro Stein
,
 Ted Brandt",Panini Comics,977000558500000029,"3,14 €",02/03/2023,Grapa,32,En stock
LOS CUATRO FANTÁSTICOS 01 (151),"Ibán Coello
,
 Ryan North",Panini Comics,977000554300000051,"4,37 €",02/03/2023,Grapa,24,En stock
